,title,price,izmer,location,seller,seller_link,date,link
801,"Листовые подкормки, Стимуляторы роста",320.00,за Литр,"Воронежская область,  Воронеж", ,https://agroru.com/doska/listovye-podkormki-stimulyatory-rosta-32209.htm,30.01.2020,https://agroru.com/doska/listovye-podkormki-stimulyatory-rosta-32209.htm
802,Гумат калия 40г/л 50 р/л,50.00,за Литр,"Краснодарский край,  Краснодар", Владимир,https://agroru.com/pages/74627/,29.01.2020,https://agroru.com/doska/gumat-kaliya-40g-l-50-r-l-48925.htm
803,Сульфат Калия,None,None,"Санкт-Петербург,  Санкт-Петербург", Андрей,https://agroru.com/pages/313706/,01.03.2020,https://agroru.com/doska/sulfat-kaliya-83099.htm
804,Поташ,None,None,"Санкт-Петербург,  Санкт-Петербург", Андрей,https://agroru.com/pages/313706/,01.03.2020,https://agroru.com/doska/potash-64167.htm
805,Карбамид марки Б некондиция,6500.00,за Тонну,"Вологодская область,  Череповец", Александр Галиевич Ахмеджанов,https://agroru.com/pages/149820/,23.01.2020,https://agroru.com/doska/karbamid-b-15906.htm
806,серу на экспорт,None,None,"Пакистан,  Лахор", Ахмед,https://agroru.com/pages/150751/,23.01.2020,https://agroru.com/doska/prodam-seru-na-eksport-62124.htm
807,Аммиачная селитра марка Б,9960.00,за Тонну,"Санкт-Петербург,  Санкт-Петербург", Александр,https://agroru.com/pages/318043/,19.01.2020,https://agroru.com/doska/ammiachnaya-selitra-marka-b-97157.htm
808,Серные удобрения,None,None,"Москва,  Москва", Александр,https://agroru.com/pages/319115/,10.01.2020,https://agroru.com/doska/sernye-udobreniya-nashego-proizvodstva-63381.htm
809,Минеральные удобрения,None,None,"Саратовская область,  Саратов", Антон,https://agroru.com/pages/319080/,10.02.2020,https://agroru.com/doska/mineralnye-udobreniya-99625.htm
810,Карбамид Б,17000.00,за Тонну,"Самарская область,  Тольятти", Евгений,https://agroru.com/pages/268508/,08.01.2020,https://agroru.com/doska/karbamid-b-89990.htm
811,Хелатные жидкие концентрированные удобрения.,525.00,за Литр,"Санкт-Петербург,  Санкт-Петербург", Николай Николаевич Рыжков,https://agroru.com/pages/319010/,06.01.2020,https://agroru.com/doska/helatnye-zhidkie-kontsentrirovannye-udobreniya-86642.htm
812,Гранулированный птичий помет,4500.00,за Тонну,"Санкт-Петербург,  Санкт-Петербург", Вячеслав,https://agroru.com/pages/318978/,04.01.2020,https://agroru.com/doska/granulirovannyj-ptichij-pomet-74326.htm
813,Удобрение АгроБор Ca (25мл),56.00,за Литр,"Воронежская область,  Воронеж", Татьяна,https://agroru.com/pages/291759/,28.12.2019,https://agroru.com/doska/udobrenie-agrobor-ca-25ml-99673.htm
814,Торф кипаванный АгроБалт,640.00,за Штуку,"Воронежская область,  Воронеж", Татьяна,https://agroru.com/pages/291759/,28.12.2019,https://agroru.com/doska/torf-kipavannyj-agrobalt-32875.htm
815,"Концентрат на 250 литров. Удобрение для цветов. Дой-пак. 0,25 кг. Находка",265.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Светлана,https://agroru.com/pages/318825/,27.03.2020,https://agroru.com/doska/udobrenie-dlya-tsvetov-doj-pak-0-25-kg-nahodka-44649.htm
816,"Концентрат на 250 литров. Удобрение для роз. Дой-пак. 0,25 кг. Находка",265.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Светлана,https://agroru.com/pages/318825/,27.03.2020,https://agroru.com/doska/udobrenie-dlya-roz-doj-pak-0-25-kg-nahodka-9396.htm
817,"Концентрат на 250 литров. Удобрение для орхидей. Дой-пак, 0.25 кг. Находка.",265.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Светлана,https://agroru.com/pages/318825/,27.03.2020,https://agroru.com/doska/udobrenie-dlya-orhidej-doj-pak-0-25-kg-nahodka-50543.htm
818,Концентрат на 20 литров. Удобрение универсальное. саше по 20 гр. Находка.,100.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Светлана,https://agroru.com/pages/318825/,27.03.2020,https://agroru.com/doska/udobrenie-universalnoe-10-gr-nahodka-4805.htm
819,селитра амиачная,1700.00,за Тонну,"Санкт-Петербург,  Санкт-Петербург", Игорь Петрович Покровский,https://agroru.com/pages/297424/,27.12.2019,https://agroru.com/doska/selitra-amiachnaya-12755.htm
820,"Концентрат на 500 литров. Биологический ускоритель компостирования . 0,5 кг. Мечта Червяка",330.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Светлана,https://agroru.com/pages/318825/,27.03.2020,https://agroru.com/doska/biologicheskij-uskoritel-kompostirovaniya-0-5-kg-mechta-cher-37849.htm
821,"Концентрат на 500 литров. Удобрение для цветов. 0,5 кг. Находка",350.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Светлана,https://agroru.com/pages/318825/,27.03.2020,https://agroru.com/doska/udobrenie-dlya-tsvetov-0-5-kg-nahodka-29614.htm
822,"Концентрат на 500 литров. Восстановитель почвы (торфогумат) 0,5 кг. Мечта червяка",340.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Светлана,https://agroru.com/pages/318825/,27.03.2020,https://agroru.com/doska/vosstanovitel-pochvy-torfogumat-0-5-kg-mechta-chervyaka-21671.htm
823,"Концентрат на 500 литров. Удобрение универсальное. 0,5 кг. Находка.",340.00,за Штуку,"Санкт-Петербург,  Санкт-Петербург", Светлана,https://agroru.com/pages/318825/,27.03.2020,https://agroru.com/doska/udobrenie-quot-nahodka-quot-universalnoe-0-5-kg-5294.htm
824,ЖКУ - NPK 7:12:12+S2+МЭ,20600.00,за Тонну,"Краснодарский край,  Армавир", Владимир,https://agroru.com/pages/303378/,03.12.2020,https://agroru.com/doska/zhku-npk-8-15-15-2s-me-75256.htm
825,ЖКУ - NP 8:26+S2+МЭ,23150.00,за Тонну,"Краснодарский край,  Армавир", Владимир,https://agroru.com/pages/303378/,03.12.2020,https://agroru.com/doska/zhku-np-6-26-3714.htm
826,Сульфат магния,None,None,"Санкт-Петербург,  Санкт-Петербург", Алексей Александрович Чайковский,https://agroru.com/pages/296116/,23.12.2019,https://agroru.com/doska/sulfat-magniya-61464.htm
827,Сульфат калия,None,None,"Санкт-Петербург,  Санкт-Петербург", Алексей Александрович Чайковский,https://agroru.com/pages/296116/,23.12.2019,https://agroru.com/doska/sulfat-kaliya-46460.htm
828,Монокалийфосфат,None,None,"Санкт-Петербург,  Санкт-Петербург", Алексей Александрович Чайковский,https://agroru.com/pages/296116/,23.12.2019,https://agroru.com/doska/monokalijfosfat-80841.htm
829,Нитрат кальция,None,None,"Санкт-Петербург,  Санкт-Петербург", Алексей Александрович Чайковский,https://agroru.com/pages/296116/,23.12.2019,https://agroru.com/doska/nitrat-kaltsiya-43436.htm
830,Водорастворимые NPK удобрения,None,None,"Санкт-Петербург,  Санкт-Петербург", Алексей Александрович Чайковский,https://agroru.com/pages/296116/,23.12.2019,https://agroru.com/doska/vodorastvorimye-npk-udobreniya-81220.htm
831,Нитрат калия,None,None,"Санкт-Петербург,  Санкт-Петербург", Алексей Александрович Чайковский,https://agroru.com/pages/296116/,23.12.2019,https://agroru.com/doska/nitrat-kaliya-2412.htm
832,Моноаммонийфосфат,None,None,"Санкт-Петербург,  Санкт-Петербург", Алексей Александрович Чайковский,https://agroru.com/pages/296116/,23.12.2019,https://agroru.com/doska/monoammonijfosfat-88431.htm
833,Реликт М,1530.00,за Литр,"Амурская область,  Благовещенск", Алексей,https://agroru.com/pages/318697/,23.12.2019,https://agroru.com/doska/relikt-m-45357.htm
834,Реликт Р,550.00,за Литр,"Амурская область,  Благовещенск", Алексей,https://agroru.com/pages/318697/,23.12.2019,https://agroru.com/doska/relikt-r-97505.htm
835,Азофоска NPKS 27:6:6+2,14300.00,за Тонну,"Тамбовская область,  Тамбов", Вячеслав,https://agroru.com/pages/317057/,07.02.2020,https://agroru.com/doska/azofoska-npks-27-6-6-2-87424.htm
836,КАРБАМИД Б (смет с вагонов),4000.00,за Тонну,"Вологодская область,  Череповец", Артем Владимирович Викторов,https://agroru.com/pages/246236/,17.12.2019,https://agroru.com/doska/karbamid-b-smet-s-vagonov-16614.htm
837,Карбамид Б (смёт),8000.00,за Тонну,"Вологодская область,  Череповец", Артем Владимирович Викторов,https://agroru.com/pages/246236/,17.12.2019,https://agroru.com/doska/karbamid-b-53095.htm
838,Карбамид Б (некондиция),9000.00,за Тонну,"Вологодская область,  Череповец", Артем Владимирович Викторов,https://agroru.com/pages/246236/,17.12.2019,https://agroru.com/doska/karbamid-b-nekonditsiya-62147.htm
839,органическое стимуляторы и удобрения,850.00,за Литр,"Москва,  Москва", Григорий Алексеевич Синицын,https://agroru.com/pages/261227/,27.11.2020,https://agroru.com/doska/prodaju-organicheskoe-stimulyatory-i-udobreniya-28182.htm
840,Доломитовая мука,3000.00,за Тонну,"Р-ка Башкортостан,  Стерлитамак", Ильшат,https://agroru.com/pages/316033/,27.01.2020,https://agroru.com/doska/dolomitovaya-muka-54978.htm
841,ОПТОМ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ,100.00,за Тонну,"Воронежская область,  Воронеж", Роман Рубцов,https://agroru.com/pages/316557/,10.12.2019,https://agroru.com/doska/predlagaem-optom-mineralnye-udobreniya-i-szr-89096.htm
842,Органическое удобрение био компост ЭкоТерра от производителя,5000.00,за Тонну,"Р-ка Башкортостан,  Уфа", Александр,https://agroru.com/pages/318199/,12.05.2020,https://agroru.com/doska/organicheskoe-udobrenie-v-zhidkom-vide-i-bio-kompost-amp-quo-28519.htm
843,Сухой голубиный помет,25.00,за Килограмм,"Р-ка Мордовия,  Саранск", Николай,https://agroru.com/pages/318177/,09.12.2019,https://agroru.com/doska/suhoj-golubinyj-pomet-93410.htm
844,НаноКремний,5000.00,за Килограмм,"Ставропольский край,  Ставрополь", Ольга,https://agroru.com/pages/318074/,06.12.2019,https://agroru.com/doska/nanokremnij-93489.htm
845,Минеральное удобрение НаноКремний,5000.00,за Килограмм,"Ставропольский край,  Ставрополь", Ольга,https://agroru.com/pages/318074/,06.12.2019,https://agroru.com/doska/mineralnoe-udobrenie-nanokremnij-7968.htm
846,Цеолит природный,5.50,за Килограмм,"Р-ка Татарстан,  Казань", Зульфат Ниязович Зайдуллин,https://agroru.com/pages/317800/,11.12.2019,https://agroru.com/doska/tseolit-prirodnyj-11980.htm
847,Salica SAR Activa SA ЖИДКИЕ МОРСКИЕ ВОДОРОСЛИ,1776.00,за Килограмм,"Краснодарский край,  Краснодар", Евгения,https://agroru.com/pages/313296/,04.12.2019,https://agroru.com/doska/salica-sar-activa-sa-zhidkie-morskie-vodorosli-86844.htm
848,Минеральное удобрение,None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,02.12.2019,https://agroru.com/doska/mineralnoe-udobrenie-42547.htm
849,Диаммофоска,None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,02.12.2019,https://agroru.com/doska/diammofoska-94786.htm
850,Нитроаммофоска (НПК) 16:16:16,None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,02.12.2019,https://agroru.com/doska/nitroammofoska-npk-21-0-1-21-14181.htm
851,сульфат аммония технический,None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,02.12.2019,https://agroru.com/doska/sulfat-ammoniya-tehnicheskij-54507.htm
852,НИТРОАММОФОСКА (АЗОФОСКА),None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,02.12.2019,https://agroru.com/doska/nitroammofoska-azofoska-6479.htm
853,"Минеральных Удобрений, ЖКУ",None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,02.12.2019,https://agroru.com/doska/postavki-mineralnyh-udobrenij-zhku-98995.htm
854,Жидкое удобрение КАС 32,None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,02.12.2019,https://agroru.com/doska/zhidkoe-udobrenie-kas-32-53166.htm
855,Агро Голд 45л 04.2017 -прилипатель,150.00,за Литр,"Р-ка Башкортостан,  Уфа", Арсен Салахович Сафин,https://agroru.com/pages/297584/,25.11.2019,https://agroru.com/doska/agro-gold-45l-04-2017-prilipatel-15477.htm
856,Калий хлористый розовый гранула 60%,None,None,"Р-ка Башкортостан,  Стерлитамак", Денис,https://agroru.com/pages/207836/,25.11.2019,https://agroru.com/doska/kalij-hloristyj-rozovyj-granula-60-v-sterlitamak-7496.htm
857,Карбамид (Мочевина),None,None,"Р-ка Башкортостан,  Стерлитамак", Денис,https://agroru.com/pages/207836/,25.11.2019,https://agroru.com/doska/karbamid-mochevina-v-sterlitamak-72869.htm
858,Селитра Аммиачная,14500.00,за Тонну,"Тамбовская область,  Тамбов", Вячеслав,https://agroru.com/pages/317057/,07.02.2020,https://agroru.com/doska/selitra-ammiachnaya-34-4-3869.htm
859,Диаммофоска 10:26:26,22500.00,за Тонну,"Тамбовская область,  Тамбов", Вячеслав,https://agroru.com/pages/317057/,07.02.2020,https://agroru.com/doska/diammofoska-10-26-26-mkr-stantsii-tambovskoj-oblasti-96279.htm
860,АММОФОС,None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,21.11.2019,https://agroru.com/doska/ammofos-13628.htm
861,Калий хлористый К-20 60,None,None,"Краснодарский край,  Краснодар", Алексей Владимирович Кирш,https://agroru.com/pages/170335/,21.11.2019,https://agroru.com/doska/kalij-hloristyj-k-20-60-13188.htm
862,Известняковое удобрение (мука) ГОСТ 14050-93 в МКР,1000.00,за Тонну,"Свердловская область,  Екатеринбург", Ольга Николаевна,https://agroru.com/pages/114936/,20.01.2020,https://agroru.com/doska/izvestnyakovoe-udobrenie-muka-gost-14050-93-v-mkr-59645.htm
863,Минеральные удобрения,None,None,"Р-ка Татарстан,  Набережные Челны", Рафис,https://agroru.com/pages/312894/,18.11.2019,https://agroru.com/doska/prodaem-mineralnye-udobreniya-72546.htm
864,Компост,5000.00,за Тонну,"Тверская область,  Тверь", Сергей,https://agroru.com/pages/317037/,15.11.2019,https://agroru.com/doska/kompost-65590.htm
865,Компост,16.00,за Килограмм,"Нижегородская область,  Нижний Новгород", Михаил  Вячеславович,https://agroru.com/pages/133968/,22.11.2020,https://agroru.com/doska/kompost-73636.htm
866,Сера гранула,None,None,"Туркмения,  Ашхабад", Мехман,https://agroru.com/pages/269370/,13.11.2019,https://agroru.com/doska/sera-granula-66830.htm
867,микроудобрения ЖУСС от производителя,None,None,"Р-ка Татарстан,  Казань", Ильшат,https://agroru.com/pages/298184/,13.11.2019,https://agroru.com/doska/mikroudobreniya-zhuss-ot-proizvoditelya-13575.htm
868,КАРБАМИД Б МОЧЕВИНА,15600.00,за Тонну,"Р-ка Башкортостан,  Уфа", Анатолий,https://agroru.com/pages/312795/,12.11.2019,https://agroru.com/doska/karbamid-b-mochevina-58993.htm
869,ДИАММОФОСКА 10:26:26,21890.00,за Тонну,"Р-ка Башкортостан,  Уфа", Анатолий,https://agroru.com/pages/312795/,12.11.2019,https://agroru.com/doska/diammofoska-10-26-26-84964.htm
870,АММИАЧНАЯ СЕЛИТРА марка Б ГОСТ 2-2013,12300.00,за Тонну,"Р-ка Башкортостан,  Уфа", Анатолий,https://agroru.com/pages/312795/,12.11.2019,https://agroru.com/doska/ammiachnaya-selitra-marka-b-gost-2-2013-35358.htm
871,Мерва,5.00,за Килограмм,"Ростовская область,  Чертково", Лидия Алексеевна  Авдеева,https://agroru.com/pages/315129/,28.09.2020,https://agroru.com/doska/merva-96584.htm
872,"минеральный порошок,известняковую крупку.",2200.00,за Тонну,"Карачаево-Черкесская Р-ка,  а.Хабез", юлия,https://agroru.com/pages/316396/,01.11.2019,https://agroru.com/doska/prodam-mineralnyj-poroshok-izvestnyakovuju-krupku-64341.htm
873,"Аммиачная селитра, Карбамид",None,None,"Москва,  Москва", Роман,https://agroru.com/pages/147028/,27.11.2019,https://agroru.com/doska/ammiachnaya-selitra-karbamid-11696.htm
874,"минеральный порошок,известняковую крупку.",2200.00,за Тонну,"Карачаево-Черкесская Р-ка,  а.Хабез", юлия,https://agroru.com/pages/316396/,01.11.2019,https://agroru.com/doska/prodam-mineralnyj-poroshok-izvestnyakovuju-krupku-12532.htm
875,Аммиак жидкий ГОСТ,19800.00,за Тонну,"Ставропольский край,  Невинномысск", Дмитрий Александрович  Коротков,https://agroru.com/pages/181750/,28.10.2019,https://agroru.com/doska/ammiak-zhidkij-11939.htm
876,Аммиачная вода 25 % ГОСТ 9-92,5700.00,за Тонну,"Ставропольский край,  Невинномысск", Дмитрий Александрович  Коротков,https://agroru.com/pages/181750/,28.10.2019,https://agroru.com/doska/ammiachnaya-voda-25-71488.htm
877,Кора сосновая,20.00,за Литр,"Нижегородская область,  Нижний Новгород", Марина  Кузнецова,https://agroru.com/pages/315995/,24.10.2019,https://agroru.com/doska/kora-sosnovaya-80520.htm
878,"Коровий, конский , куриный помет",28.00,за Килограмм,"Нижегородская область,  Нижний Новгород", Марина  Кузнецова,https://agroru.com/pages/315995/,24.10.2019,https://agroru.com/doska/korovij-konskij-kurinyj-pomet-19287.htm
879,Монокальцийфосфат (ГОСТ 23999-80),36000.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/monokaltsijfosfat-gost-23999-80-49076.htm
880,Диаммофоска (ДАФК) (NPK 10:26:26),25000.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/diammofoska-dafk-npk-10-26-26-34600.htm
881,"Азофоска, Нитроаммофоска (NPK 16:16:16)",18000.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/azofoska-nitroammofoska-npk-16-16-16-90167.htm
882,Сульфоаммофос (NP 20:20 14S),21000.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/sulfoammofos-np-20-20-14s-7570.htm
883,Калий хлористый марки Мелкий (ГОСТ 4568-95),23000.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/kalij-hloristyj-marki-melkij-gost-4568-95-34082.htm
884,СУЛЬФАТ АММОНИЯ (ТУ 2181-060-00205311-2014),12500.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/sulfat-ammoniya-tu-2181-060-00205311-2014-42939.htm
885,АММОФОС (NPK 12:52),25800.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/ammofos-npk-12-52-10337.htm
886,КАРБАМИД (МОЧЕВИНА) ГОСТ 2081-92,16000.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/karbamid-mochevina-gost-2081-92-80223.htm
887,Аммиачная селитра (ГОСТ ГОСТ 2-2013),10500.00,за Тонну,"Москва,  Москва", Дмитрий Коврига,https://agroru.com/pages/314072/,24.10.2019,https://agroru.com/doska/ammiachnaya-selitra-gost-gost-2-2013-31055.htm
888,Азофоска тукосмеси,14000.00,за Тонну,"Ленинградская область,  Волхов", Андрей,https://agroru.com/pages/315823/,22.10.2019,https://agroru.com/doska/azofoska-tukosmesi-44692.htm
889,Цинковый купорос,25000.00,за Тонну,"Казахстан,  Усть-Каменогорск", Игорь Владимирович Давыденко,https://agroru.com/pages/315750/,18.12.2019,https://agroru.com/doska/tsinkovyj-kuporos-28853.htm
890,Гумат калия / натрия,None,None,"Ростовская область,  Ростов-на-Дону", Ирина  Алекаеевна Шкуратова,https://agroru.com/pages/182853/,09.07.2020,https://agroru.com/doska/gumat-kaliya-natriya-96072.htm
891,Биодеструктор стерни и пожнивных остатков,None,None,"Пензенская область,  Пенза", Алла,https://agroru.com/pages/296950/,28.09.2020,https://agroru.com/doska/biodestruktor-sterni-i-pozhnivnyh-ostatkov-77353.htm
892,Биокомплекс для плодовых,None,None,"Пензенская область,  Пенза", Алла,https://agroru.com/pages/296950/,28.09.2020,https://agroru.com/doska/biokompleks-dlya-plodovyh-73605.htm
893,Ризолайн Инокулянт для сои Ж,None,None,"Пензенская область,  Пенза", Алла,https://agroru.com/pages/296950/,28.09.2020,https://agroru.com/doska/rizolajn-inokulyant-dlya-soi-zh-45320.htm
894,Ризолайн Инокулянт для гороха Ж,None,None,"Пензенская область,  Пенза", Алла,https://agroru.com/pages/296950/,28.09.2020,https://agroru.com/doska/rizolajn-inokulyant-dlya-goroha-zh-98530.htm
895,Ризолайн Инокулянт для нута Ж,None,None,"Пензенская область,  Пенза", Алла,https://agroru.com/pages/296950/,28.09.2020,https://agroru.com/doska/rizolajn-inokulyant-dlya-nuta-zh-79484.htm
896,Ризолайн Инокулянт для Люцерны Т,None,None,"Пензенская область,  Пенза", Алла,https://agroru.com/pages/296950/,28.09.2020,https://agroru.com/doska/rizolajn-inokulyant-dlya-ljutserny-t-2419.htm
897,"Биоконсервант® биопрепарат для силосования зеленого силоса, сенажа и зерносмесей",None,None,"Пензенская область,  Пенза", Алла,https://agroru.com/pages/296950/,28.09.2020,https://agroru.com/doska/biokonservant-biopreparat-dlya-silosovaniya-zelenogo-silosa--44071.htm
898,Органик Баланс,None,None,"Пензенская область,  Пенза", Алла,https://agroru.com/pages/296950/,28.09.2020,https://agroru.com/doska/organik-balans-82407.htm
899,Цинковый купорос,25000.00,за Тонну,"Казахстан,  Усть-Каменогорск", Игорь Владимирович Давыденко,https://agroru.com/pages/315750/,18.12.2019,https://agroru.com/doska/tsinkovyj-kuporos-51000.htm
900,Купорос медный,135000.00,за Тонну,"Казахстан,  Усть-Каменогорск", Игорь Владимирович Давыденко,https://agroru.com/pages/315750/,18.12.2019,https://agroru.com/doska/kuporos-mednyj-27342.htm
901,Биовита-агро,40.00,за Литр,"Ставропольский край,  Ставрополь", Андрей  Дмитриев,https://agroru.com/pages/315594/,21.01.2020,https://agroru.com/doska/biovita-agro-56440.htm
902,Сульфат аммония,12500.00,за Тонну,"Нижегородская область,  Дзержинск", Елена,https://agroru.com/pages/311052/,15.10.2019,https://agroru.com/doska/sulfat-ammoniya-87040.htm
903,"Карбамид м.А, м.Б",20200.00,за Тонну,"Нижегородская область,  Дзержинск", Елена,https://agroru.com/pages/311052/,15.10.2019,https://agroru.com/doska/karbamid-m-a-m-b-38836.htm
904,"UREA N46, Экспорт, CIF",300.00,за Тонну,"Челябинская область,  Челябинск", Viktor Stanislavskiy,https://agroru.com/pages/281780/,14.10.2019,https://agroru.com/doska/urea-n46-eksport-cif-77277.htm
905,"Compound NPK fertilizer, Экспорт, CIF",300.00,за Тонну,"Челябинская область,  Челябинск", Viktor Stanislavskiy,https://agroru.com/pages/281780/,14.10.2019,https://agroru.com/doska/compound-npk-fertilizer-eksport-cif-65671.htm
906,Сера Гранулированная Экспорт CIF. 99.98,100.00,за Тонну,"Челябинская область,  Челябинск", Viktor Stanislavskiy,https://agroru.com/pages/281780/,14.10.2019,https://agroru.com/doska/sera-granulirovannaya-eksport-cif-99-98-34941.htm
907,"Диаммоний фосфат (18:46). Экспорт,CIF",400.00,за Тонну,"Челябинская область,  Челябинск", Viktor Stanislavskiy,https://agroru.com/pages/281780/,14.10.2019,https://agroru.com/doska/diammonij-fosfat-18-46-eksport-cif-76309.htm
908,Сера Гранулированная,2000.00,за Тонну,"Москва,  Москва", Роман,https://agroru.com/pages/315412/,14.10.2019,https://agroru.com/doska/sera-granulirovannaya-57007.htm
909,овечий навоз,1000.00,за Тонну,"Калужская область,  Жиздра", Ганипа Набиевич Апутаев,https://agroru.com/pages/315279/,09.10.2019,https://agroru.com/doska/ovechij-navoz-58811.htm
910,Сера гранулированная Сорт 9998,4200.00,за Тонну,"Волгоградская область,  Волгоград", Алексей Сергеевич Гречишников,https://agroru.com/pages/314999/,04.10.2019,https://agroru.com/doska/sera-granulirovannaya-sort-9998-64876.htm
911,Конский навоз,150.00,за Штуку,"Краснодарский край,  Гойтх", Екатерина,https://agroru.com/pages/314703/,28.09.2019,https://agroru.com/doska/konskij-navoz-64061.htm
912,БИО-органическое удобрение Экокладин,20.00,за Килограмм,"Ростовская область,  Ростов-на-Дону", Олег Анатольевич Бронников,https://agroru.com/pages/314622/,27.09.2019,https://agroru.com/doska/bio-organicheskoe-udobrenie-amp-quot-ekokladin-amp-quot-97921.htm
913,Минеральные удобрения,None,None,"Украина,  Киев", Саттор Джаббарович Рахмонов,https://agroru.com/pages/69685/,26.01.2020,https://agroru.com/doska/mineralnye-udobreniya-45035.htm
914,ОМУ водорастворимое,120.00,за Килограмм,"Москва,  Москва", Николай Михайлович Демко,https://agroru.com/pages/312841/,30.09.2019,https://agroru.com/doska/omu-vodorastvorimoe-87034.htm
915,Карбамид марки Б,None,None,"Самарская область,  Тольятти", Евгений,https://agroru.com/pages/314054/,24.09.2019,https://agroru.com/doska/karbamid-marki-b-69926.htm
916,NaturAgro EcoFlora,24000.00,за Тонну,"Чувашская Р-ка,  Чебоксары", Алексей,https://agroru.com/pages/314421/,27.05.2020,https://agroru.com/doska/organicheskoe-udobrenie-naturagro-zeobio-52090.htm
917,NaturAgro EcoBoost,15.00,за Штуку,"Чувашская Р-ка,  Чебоксары", Алексей,https://agroru.com/pages/314421/,27.05.2020,https://agroru.com/doska/sapropel-tabletirovannyj-naturagro-ecoboost-80538.htm
918,NaturAgro EcoGrow,210.00,за Литр,"Чувашская Р-ка,  Чебоксары", Алексей,https://agroru.com/pages/314421/,27.05.2020,https://agroru.com/doska/udobrenie-naturagro-ecogrow-97100.htm
919,Торф,870.00,за Штуку,"Волгоградская область,  Волгоград", Олег,https://agroru.com/pages/206371/,23.09.2019,https://agroru.com/doska/torf-15807.htm
920,Карбамид марки Б,19800.00,за Тонну,"Ставропольский край,  Невинномысск", Дмитрий Александрович  Коротков,https://agroru.com/pages/181750/,30.09.2019,https://agroru.com/doska/karbamid-marki-b-82435.htm
921,Аммиачная селитра..,11300.00,за Тонну,"Ростовская область,  Ростов-на-Дону", Александр,https://agroru.com/pages/312808/,19.09.2019,https://agroru.com/doska/ammiachnaya-selitra-45343.htm
922,Аммофос 12:52.,24900.00,за Тонну,"Ростовская область,  Ростов-на-Дону", Александр,https://agroru.com/pages/312808/,19.09.2019,https://agroru.com/doska/letnie-skidki-na-ammofos-12-52-77210.htm
923,Диаммофоска 10:26:26 по ТУ.,14200.00,за Тонну,"Ростовская область,  Ростов-на-Дону", Александр,https://agroru.com/pages/312808/,19.09.2019,https://agroru.com/doska/diammofoska-10-26-26-po-tu-57086.htm
924,ГЛАУКОНИТ,12000.00,за Тонну,"Ульяновская область,  Ульяновск", Дмитрий Николаевич Крестов,https://agroru.com/pages/314240/,19.09.2019,https://agroru.com/doska/glaukonit-89717.htm
925,ЦЕОЛИТ,10000.00,за Тонну,"Ульяновская область,  Ульяновск", Дмитрий Николаевич Крестов,https://agroru.com/pages/314240/,19.09.2019,https://agroru.com/doska/tseolit-27900.htm
926,ЦЕОЛИАЗОТ,15800.00,за Тонну,"Ульяновская область,  Ульяновск", Дмитрий Николаевич Крестов,https://agroru.com/pages/314240/,19.09.2019,https://agroru.com/doska/tseoliazot-37850.htm
927,Карбамид марки Б(UREA46.2%),19700.00,за Тонну,"Ульяновская область,  Ульяновск", Дмитрий Николаевич Крестов,https://agroru.com/pages/314240/,19.09.2019,https://agroru.com/doska/karbamid-marki-b-urea46-2-92158.htm
